indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,5.65335702896118,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,5.94424200057983,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,6.59310626983643,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,7.19122219085693,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,6.0331711769104,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,8.65820026397705,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,8.2992115020752,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,9.22425174713135,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,11.7219772338867,,,0.0,MX,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,3.66325640678406,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,4.59167098999023,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,5.50047826766968,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,6.17514657974243,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,6.28679847717285,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,7.60265779495239,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,7.94484853744507,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,9.55349540710449,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,11.0362329483032,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,12.709324836731,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,12.3108644485474,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.1.90usd', 'value': 'Poverty Headcount ($1.90 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,13.6220474243164,,,0.0,BR,1.0.HCount.1.90usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,11.7143821716309,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,11.4482707977295,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,12.612398147583,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,13.5745534896851,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,11.8310928344727,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,14.9790315628052,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,14.7299337387085,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,17.1473388671875,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,19.5447807312012,,,0.0,MX,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,7.81623363494873,,,0.0,BR,1.0.HCount.2.5usd
"{'id': '1.0.HCount.2.5usd', 'value': 'Poverty Headcount ($2.50 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,9.61252117156982,,,0.0,BR,1.0.HCount.2.5usd
